power[%]   angle[deg]
0                      0
75                      0
75                      0
75                      0
75                      0
75                      0
75                      0
75                      0
75                      0
75                      0
75                      -1
75                      -1
75                      -1
75                      -2
75                      -2
75                      -3
75                      -3
75                      -4
75                      -4
75                      -5
75                      -6
75                      -6
75                      -7
75                      -8
75                      -8
75                      -9
75                      -10
75                      -10
75                      -11
75                      -12
75                      -13
75                      -14
75                      -15
75                      -15
75                      -16
75                      -17
75                      -18
75                      -19
75                      -20
75                      -21
75                      -22
75                      -23
75                      -24
75                      -25
75                      -26
75                      -27
75                      -29
75                      -30
75                      -31
75                      -32
75                      -33
75                      -34
75                      -36
75                      -37
75                      -38
75                      -39
75                      -41
75                      -42
75                      -43
75                      -44
75                      -46
75                      -47
75                      -48
75                      -49
75                      -51
75                      -52
75                      -53
75                      -54
75                      -56
75                      -57
75                      -58
75                      -60
75                      -61
75                      -63
75                      -64
75                      -65
75                      -67
75                      -68
75                      -69
75                      -71
75                      -72
75                      -74
75                      -75
75                      -77
75                      -78
75                      -79
75                      -81
75                      -82
75                      -84
75                      -85
75                      -87
75                      -88
75                      -90
75                      -91
75                      -93
75                      -94
75                      -95
75                      -97
75                      -98
75                      -100
75                      -101
75                      -103
75                      -104
75                      -106
75                      -107
75                      -109
75                      -110
75                      -112
75                      -113
75                      -114
75                      -116
75                      -117
75                      -119
75                      -120
75                      -122
75                      -123
75                      -125
75                      -126
75                      -128
75                      -129
75                      -131
75                      -132
75                      -134
75                      -135
75                      -137
75                      -138
75                      -140
75                      -142
75                      -143
75                      -145
75                      -146
75                      -148
75                      -149
75                      -151
75                      -152
75                      -154
75                      -155
75                      -157
75                      -158
75                      -160
75                      -162
75                      -163
75                      -165
75                      -166
75                      -168
75                      -169
75                      -171
75                      -172
75                      -174
75                      -175
75                      -177
75                      -179
75                      -180
75                      -182
75                      -183
75                      -185
75                      -186
75                      -188
75                      -190
75                      -191
75                      -193
75                      -194
75                      -196
75                      -197
75                      -199
75                      -201
75                      -202
75                      -204
75                      -205
75                      -207
75                      -208
75                      -210
75                      -212
75                      -213
75                      -215
75                      -216
75                      -218
75                      -220
75                      -221
75                      -223
75                      -224
75                      -226
75                      -228
75                      -229
75                      -231
75                      -232
75                      -234
75                      -235
75                      -237
75                      -239
75                      -240
75                      -242
75                      -243
75                      -245
75                      -247
75                      -248
75                      -250
75                      -251
75                      -253
75                      -254
75                      -256
75                      -258
75                      -259
75                      -261
75                      -263
75                      -264
75                      -266
75                      -267
75                      -269
75                      -271
75                      -272
75                      -274
75                      -276
75                      -277
75                      -279
75                      -280
75                      -282
75                      -284
75                      -285
75                      -287
75                      -289
75                      -290
75                      -292
75                      -293
75                      -295
75                      -297
75                      -298
75                      -300
75                      -302
75                      -303
75                      -305
75                      -307
75                      -308
75                      -310
75                      -311
75                      -313
75                      -315
75                      -316
75                      -318
75                      -320
75                      -321
75                      -323
75                      -325
75                      -326
75                      -328
75                      -330
0                      -331
0                      -333
0                      -334
0                      -336
0                      -337
0                      -338
0                      -340
0                      -341
0                      -342
0                      -343
0                      -343
0                      -344
0                      -345
0                      -346
0                      -346
0                      -347
0                      -347
0                      -348
0                      -348
0                      -349
0                      -349
0                      -349
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
0                      -350
