power[%]   angle[deg]
0                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      0
-75                      1
-75                      1
-75                      1
-75                      2
-75                      3
-75                      3
-75                      4
-75                      4
-75                      5
-75                      6
-75                      7
-75                      8
-75                      8
-75                      9
-75                      10
-75                      11
-75                      12
-75                      13
-75                      14
-75                      16
-75                      17
-75                      18
-75                      19
-75                      20
-75                      21
-75                      23
-75                      24
-75                      25
-75                      27
-75                      28
-75                      29
-75                      31
-75                      32
-75                      34
-75                      35
-75                      36
-75                      38
-75                      39
-75                      41
-75                      43
-75                      44
-75                      46
-75                      47
-75                      49
-75                      51
-75                      52
-75                      54
-75                      56
-75                      57
-75                      59
-75                      61
-75                      63
-75                      64
-75                      66
-75                      68
-75                      70
-75                      72
-75                      74
-75                      75
-75                      77
-75                      79
-75                      81
-75                      83
-75                      85
-75                      87
-75                      89
-75                      91
-75                      93
-75                      95
-75                      97
-75                      99
-75                      101
-75                      103
-75                      105
-75                      107
-75                      109
-75                      111
-75                      113
-75                      115
-75                      117
-75                      119
-75                      121
-75                      124
-75                      126
-75                      128
-75                      130
-75                      132
-75                      134
-75                      136
-75                      138
-75                      141
-75                      143
-75                      145
-75                      147
-75                      149
-75                      151
-75                      154
-75                      156
-75                      158
-75                      160
-75                      162
-75                      165
-75                      167
-75                      169
-75                      171
-75                      174
-75                      176
-75                      178
-75                      180
-75                      183
-75                      185
-75                      187
-75                      189
-75                      192
-75                      194
-75                      196
-75                      198
-75                      201
-75                      203
-75                      205
-75                      208
-75                      210
-75                      212
-75                      214
-75                      217
-75                      219
-75                      221
-75                      224
-75                      226
-75                      229
-75                      231
-75                      233
-75                      236
-75                      238
-75                      241
-75                      243
-75                      246
-75                      248
-75                      250
-75                      253
-75                      255
-75                      258
-75                      260
-75                      263
-75                      265
-75                      268
-75                      270
-75                      273
-75                      276
-75                      278
-75                      281
-75                      283
-75                      286
-75                      288
-75                      291
-75                      293
-75                      296
-75                      298
-75                      301
-75                      304
-75                      306
-75                      309
-75                      311
-75                      314
-75                      316
-75                      319
-75                      322
-75                      324
-75                      327
-75                      329
-75                      332
-75                      334
-75                      337
-75                      339
-75                      342
-75                      345
-75                      347
-75                      350
-75                      352
-75                      355
-75                      357
-75                      360
-75                      362
-75                      365
-75                      367
-75                      370
-75                      373
-75                      375
-75                      378
-75                      380
-75                      383
-75                      385
-75                      388
-75                      391
-75                      393
-75                      396
-75                      398
-75                      401
-75                      403
-75                      406
-75                      408
-75                      411
-75                      413
-75                      416
-75                      418
-75                      421
-75                      424
-75                      426
-75                      429
-75                      431
-75                      434
-75                      436
-75                      439
-75                      441
-75                      444
-75                      446
-75                      449
-75                      451
-75                      454
-75                      456
-75                      459
-75                      461
-75                      464
-75                      466
-75                      469
-75                      471
-75                      474
-75                      476
-75                      479
-75                      481
-75                      484
-75                      487
-75                      489
-75                      492
-75                      494
-75                      497
-75                      499
-75                      502
0                      504
0                      507
0                      509
0                      512
0                      514
0                      516
0                      518
0                      520
0                      522
0                      524
0                      525
0                      527
0                      529
0                      530
0                      532
0                      533
0                      534
0                      535
0                      537
0                      538
0                      539
0                      540
0                      541
0                      541
0                      542
0                      543
0                      543
0                      544
0                      544
0                      545
0                      545
0                      546
0                      546
0                      546
0                      546
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
0                      547
